_time_gateway,SNR_PMP_UW_S_1,ICF_SCS_FG_T_2,ICF_TMS_NOX_A,ACT_SNR_PMP_BO_6,ACT_SNR_PMP_BO_0
2025-11-20 15:37:58,17.6812496,1087.36877,0.662500024,,
2025-11-20 15:37:59,17.6812496,1087.36877,0.850000024,,
2025-11-20 15:38:00,17.6812496,1086.2312,0.487500012,,22.6812496
2025-11-20 15:38:01,17.6812496,1086.2312,0.487500012,,
2025-11-20 15:38:02,17.6812496,1088.26245,0.787500024,,
2025-11-20 15:38:03,17.6812496,1088.26245,0.787500024,,
2025-11-20 15:38:05,17.6812496,1087.8562,0.5,,22.6812496
2025-11-20 15:38:06,17.6812496,1088.0188,0.537500024,,
2025-11-20 15:38:07,17.6812496,1088.0188,0.537500024,,
2025-11-20 15:38:08,17.6812496,1088.58752,0.625,,
2025-11-20 15:38:09,17.6812496,1088.58752,0.625,,
2025-11-20 15:38:10,17.6812496,1090.4563,0.725000024,,22.6812496
2025-11-20 15:38:11,17.6812496,1090.4563,0.725000024,,
2025-11-20 15:38:12,17.6812496,1089.72498,0.662500024,,
2025-11-20 15:38:13,17.6812496,1089.72498,0.662500024,,
2025-11-20 15:38:14,17.6812496,1090.2937,0.8125,,
2025-11-20 15:38:15,17.6812496,1091.83752,0.612500012,,22.6812496
2025-11-20 15:38:16,17.6812496,1092.0813,0.725000024,,
2025-11-20 15:38:17,17.6812496,1092.0813,0.725000024,,
2025-11-20 15:38:18,17.6812496,1092.16248,0.762499988,,
2025-11-20 15:38:19,17.6812496,1091.2688,0.474999994,,
2025-11-20 15:38:20,,,,,22.6812496
2025-11-20 15:38:21,17.6812496,1091.2688,0.637499988,,
2025-11-20 15:38:22,17.6812496,1091.2688,0.637499988,,
2025-11-20 15:38:23,17.6812496,1091.1062,0.512499988,,
2025-11-20 15:38:24,17.6812496,1091.1062,0.512499988,,
2025-11-20 15:38:25,17.6812496,1091.1062,0.725000024,,22.6812496
2025-11-20 15:38:26,17.6812496,1091.1062,0.725000024,,
2025-11-20 15:38:27,17.6812496,1091.34998,0.612500012,,
